Name,U.S. Dollar Index
2023-03-02,104.9795
2023-03-01,104.3862
2023-02-28,104.98679999999999
2023-02-27,104.65220000000001
2023-02-24,105.2618
2023-02-23,104.6105
2023-02-22,104.5281
2023-02-21,104.2043
2023-02-20,103.89030000000001
2023-02-17,103.8812
2023-02-16,104.0246
2023-02-15,103.86200000000001
2023-02-14,103.2603
2023-02-13,103.2717
2023-02-10,103.5757
2023-02-09,103.221
2023-02-08,103.4794
2023-02-07,103.3461
2023-02-06,103.63329999999999
2023-02-03,102.99589999999999
2023-02-02,101.7478
2023-02-01,101.1547
2023-01-31,102.10369999999999
2023-01-30,102.2304
2023-01-27,101.92200000000001
2023-01-26,101.81670000000001
2023-01-25,101.64269999999999
2023-01-24,101.90809999999999
2023-01-23,102.0318
2023-01-20,101.9966
2023-01-19,102.07119999999999
2023-01-18,102.40520000000001
2023-01-17,102.38940000000001
2023-01-16,102.364
2023-01-13,102.16820000000001
2023-01-12,102.2542
2023-01-11,103.2472
2023-01-10,103.2895
2023-01-09,103.18920000000001
2023-01-06,103.90910000000001
2023-01-05,105.1228
2023-01-04,104.26689999999999
2023-01-03,104.6744
2023-01-02,103.76830000000001
2022-12-30,103.48949999999999
2022-12-29,103.9747
2022-12-28,104.5291
2022-12-27,104.2013
2022-12-26,104.16810000000001
2022-12-23,104.3235
2022-12-22,104.381
2022-12-21,104.2598
2022-12-20,103.96650000000001
2022-12-19,104.67909999999999
2022-12-16,104.84660000000001
2022-12-15,104.6057
2022-12-14,103.6286
2022-12-13,104.0158
2022-12-12,105.0116
2022-12-09,104.92569999999999
2022-12-08,104.8156
2022-12-07,105.19829999999999
2022-12-06,105.56410000000001
2022-12-05,105.272
2022-12-02,104.5098
2022-12-01,104.70360000000001
2022-11-30,105.9765
2022-11-29,106.8126
2022-11-28,106.6752
2022-11-25,106.0724
2022-11-24,105.8617
2022-11-23,106.1437
2022-11-22,107.1687
2022-11-21,107.82260000000001
2022-11-18,106.9678
2022-11-17,106.6784
2022-11-16,106.2934
2022-11-15,106.5629
2022-11-14,106.8986
2022-11-11,106.40830000000001
2022-11-10,107.8847
2022-11-09,110.4278
2022-11-08,109.6342
2022-11-07,110.1872
2022-11-04,110.7839
2022-11-03,112.98420000000002
2022-11-02,112.1193
2022-11-01,111.5609
2022-10-31,111.6036
2022-10-28,110.6763
2022-10-27,110.5894
2022-10-26,109.6982
2022-10-25,110.8775
2022-10-24,112.0087
2022-10-21,111.8505
2022-10-20,112.82730000000001
2022-10-19,112.9089
2022-10-18,112.0303
2022-10-17,112.09309999999999
2022-10-14,113.3095
2022-10-13,112.46010000000001
2022-10-12,113.2668
2022-10-11,113.29409999999999
2022-10-10,113.15710000000001
2022-10-07,112.75619999999999
2022-10-06,112.2612
2022-10-05,111.1992
2022-10-04,110.1798
2022-10-03,111.63919999999999
2022-09-30,112.1511
2022-09-29,111.96990000000001
2022-09-28,112.7177
2022-09-27,114.1596
2022-09-26,114.11460000000001
2022-09-23,113.03240000000001
2022-09-22,111.2889
2022-09-21,111.3731
2022-09-20,110.1986
2022-09-19,109.5949
2022-09-16,109.6597
2022-09-15,109.68560000000001
2022-09-14,109.64609999999999
2022-09-13,109.9188
2022-09-12,108.3076
2022-09-09,108.9655
2022-09-08,109.65279999999998
2022-09-07,109.5831
2022-09-06,110.2383
2022-09-05,109.81899999999999
2022-09-02,109.6121
2022-09-01,109.66489999999999
2022-08-31,108.6796
2022-08-30,108.8249
2022-08-29,108.7816
2022-08-26,108.85640000000001
2022-08-25,108.42530000000001
2022-08-24,108.6456
2022-08-23,108.53940000000001
2022-08-22,108.9728
2022-08-19,108.11019999999999
2022-08-18,107.517
2022-08-17,106.6483
2022-08-16,106.4602
2022-08-15,106.5155
2022-08-12,105.67880000000001
2022-08-11,105.10610000000001
2022-08-10,105.223
2022-08-09,106.3112
2022-08-08,106.38270000000001
2022-08-05,106.57140000000001
2022-08-04,105.74529999999999
2022-08-03,106.40039999999999
2022-08-02,106.3267
2022-08-01,105.3887
2022-07-29,105.8361
2022-07-28,106.16560000000001
2022-07-27,106.48610000000001
2022-07-26,107.2352
2022-07-25,106.55179999999999
2022-07-22,106.55179999999999
2022-07-21,106.56729999999999
2022-07-20,107.0345
2022-07-19,106.70890000000001
2022-07-18,107.46
2022-07-15,107.98169999999999
2022-07-14,108.63789999999999
2022-07-13,108.0452
2022-07-12,108.1571
2022-07-11,108.2193
2022-07-08,106.8951
2022-07-07,107.0716
2022-07-06,107.0829
2022-07-05,106.521
2022-07-04,105.1764
2022-07-01,105.116
2022-06-30,104.70570000000001
2022-06-29,105.11290000000001
2022-06-28,104.50009999999999
2022-06-27,103.9569
2022-06-24,104.1303
2022-06-23,104.4105
2022-06-22,104.2163
2022-06-21,104.4244
2022-06-20,104.50450000000001
2022-06-17,104.6682
2022-06-16,103.83260000000001
2022-06-15,104.86940000000001
2022-06-14,105.4807
2022-06-13,105.22770000000001
2022-06-10,104.1926
2022-06-09,103.3279
2022-06-08,102.56129999999999
2022-06-07,102.3352
2022-06-06,102.39819999999999
2022-06-03,102.1704
2022-06-02,101.77969999999999
2022-06-01,102.5679
2022-05-31,101.76789999999998
2022-05-30,101.6454
2022-05-27,101.6429
2022-05-26,101.7557
2022-05-25,102.1262
2022-05-24,101.7692
2022-05-23,102.0767
2022-05-20,103.0334
2022-05-19,102.8934
2022-05-18,103.9245
2022-05-17,103.29709999999999
2022-05-16,104.22300000000001
2022-05-13,104.4509
2022-05-12,104.7536
2022-05-11,104.02
2022-05-10,103.92779999999999
2022-05-09,103.72639999999998
2022-05-06,103.6617
2022-05-05,103.5715
2022-05-04,102.51219999999999
2022-05-03,103.4861
2022-05-02,103.6027
2022-04-29,103.2173
2022-04-28,103.6704
2022-04-27,102.9669
2022-04-26,101.73930000000001
2022-04-25,101.7435
2022-04-22,101.1233
2022-04-21,100.6273
2022-04-20,100.3037
2022-04-19,100.9863
2022-04-18,100.7877
2022-04-15,100.52010000000001
2022-04-14,100.3048
2022-04-13,99.8387
2022-04-12,100.3367
2022-04-11,99.9775
2022-04-08,99.843
2022-04-07,99.7712
2022-04-06,99.64569999999999
2022-04-05,99.4903
2022-04-04,99.01219999999999
2022-04-01,98.5709
2022-03-31,98.3618
2022-03-30,97.8297
2022-03-29,98.4257
2022-03-28,99.152
2022-03-25,98.8103
2022-03-24,98.7894
2022-03-23,98.64699999999999
2022-03-22,98.4386
2022-03-21,98.4923
2022-03-18,98.22819999999999
2022-03-17,98.01749999999998
2022-03-16,98.37549999999999
2022-03-15,98.9916
2022-03-14,99.11930000000001
2022-03-11,99.1263
2022-03-10,98.51599999999999
2022-03-09,97.96010000000001
2022-03-08,99.1289
2022-03-07,99.2599
2022-03-04,98.5113
2022-03-03,97.72670000000001
2022-03-02,97.3539
2022-03-01,97.40440000000001
2022-02-28,96.7063
2022-02-25,96.5433
2022-02-24,97.0908
2022-02-23,96.2042
2022-02-22,96.08439999999999
2022-02-21,96.1321
2022-02-18,96.1024
2022-02-17,95.82159999999999
2022-02-16,95.8266
2022-02-15,95.9863
2022-02-14,96.2789
2022-02-11,96.0309
2022-02-10,95.6799
2022-02-09,95.55879999999999
2022-02-08,95.6095
2022-02-07,95.41199999999999
2022-02-04,95.4683
2022-02-03,95.341
2022-02-02,95.9872
2022-02-01,96.253
2022-01-31,96.6369
2022-01-28,97.2135
2022-01-27,97.2288
2022-01-26,96.4886
2022-01-25,95.9975
2022-01-24,95.8958
2022-01-21,95.6317
2022-01-20,95.79480000000001
2022-01-19,95.6069
2022-01-18,95.72980000000001
2022-01-17,95.25899999999999
